VECTOR 150
SET 112 7
SET 38 9
CLEAR 72 4
CLEAR 99 9
CLEAR 93 7
CLEAR 49 8
SET 39 0
SET 85 3
CLEAR 57 7
CLEAR 106 8
SET 37 3
SET 2 7
SET 81 5
SET 130 7
SET 111 9
SET 38 3
SET 82 6
SET 102 9
CLEAR 125 5
CLEAR 111 1
SET 97 4
SET 64 5
SET 22 9
SET 92 2
SET 101 8
SET 144 6
SET 117 2
SET 32 9
CLEAR 129 6
CLEAR 53 2
SET 107 6
SET 50 2
SET 40 0
SET 135 6
SET 34 3
CLEAR 24 7
SET 16 10
SET 122 3
SET 11 0
CLEAR 17 3
CLEAR 127 9
SET 50 10
CLEAR 110 5
SET 98 8
SET 20 9
SET 105 1
SET 130 1
SET 64 5
CLEAR 34 2
SET 56 2
SET 51 1
SET 38 1
SET 102 7
SET 3 2
SET 69 8
CLEAR 20 0
SET 3 9
CLEAR 119 1
SET 111 3
CLEAR 92 1
CLEAR 132 7
SET 107 10
SET 14 7
CLEAR 108 6
CLEAR 23 7
CLEAR 14 1
SET 100 6
SET 49 6
SET 108 1
SET 123 0
CLEAR 97 4
SET 126 10
SET 106 3
SET 24 10
CLEAR 9 0
SET 129 6
CLEAR 1 0
SET 65 9
SET 114 8
SET 89 1
SET 43 2
SET 9 10
SET 116 5
CLEAR 32 0
CLEAR 140 0
SET 48 2
SET 46 4
CLEAR 4 2
SET 19 0
CLEAR 98 10
SET 18 3
SET 60 6
CLEAR 70 3
SET 70 9
SET 68 6
CLEAR 128 4
SET 86 7
SET 101 6
SET 35 3
CLEAR 148 4
SET 122 10
SET 22 1
SET 77 2
SET 104 10
CLEAR 93 0
SET 108 2
CLEAR 48 2
SET 1 3
SET 39 3
SET 57 4
SET 91 1
SET 47 1
CLEAR 111 4
CLEAR 94 5
CLEAR 25 4
CLEAR 70 3
SET 74 1
SET 147 2
SET 9 7
SET 121 3
SET 132 10
SET 78 10
SET 51 6
CLEAR 92 5
CLEAR 51 2
SET 48 2
SET 51 6
CLEAR 117 8
SET 109 8
SET 9 1
SET 59 1
CLEAR 69 8
SET 38 5
CLEAR 76 6
SET 86 4
CLEAR 50 9
CLEAR 53 4
SET 93 7
CLEAR 2 5
SET 36 10
CLEAR 149 1
SET 106 2
CLEAR 111 2
SET 75 10
CLEAR 37 2
CLEAR 133 10
CLEAR 34 3
SET 27 3
SET 63 9
CLEAR 94 1
SET 69 9
CLEAR 40 0
SET 16 0
SET 126 0
CLEAR 52 1
SET 53 10
SET 142 5
CLEAR 39 6
SET 39 3
SET 39 1
SET 115 2
SET 36 6
CLEAR 23 0
CLEAR 72 9
SET 4 6
SET 110 8
SET 145 1
SET 20 10
SET 14 7
SET 140 0
SET 47 1
SET 44 9
CLEAR 58 7
CLEAR 127 2
SET 88 5
SET 22 1
SET 74 9
SET 135 2
SET 133 8
CLEAR 147 4
END
